Sequence Position in training data,,Customer ID# in market test database,"Male=0, Female=1",total_expenditure ,"months_since_last_purchase, ","number_of_purchases, ",months_since_first_purchase ,,,
68,user68,560,1,299,12,3,26,,,
69,user69,565,0,294,10,3,20,,,
70,user70,567,1,135,16,8,60,,,
71,user71,579,0,230,10,2,14,,,
72,user72,582,1,140,2,1,2,,,
73,user73,585,1,307,24,9,46,,,
74,user74,592,1,201,8,1,8,,,
75,user75,594,1,193,16,2,20,,,
76,user76,609,1,112,36,1,36,,,
77,user77,612,0,277,14,1,14,,,
78,user78,619,1,49,10,2,14,,,
79,user79,625,1,149,6,3,18,,,
80,user80,633,1,294,24,2,30,,,
81,user81,644,1,302,6,5,20,,,
82,user82,649,1,138,22,1,22,,,
83,user83,650,1,195,12,2,16,,,
84,user84,658,1,101,16,2,22,,,
85,user85,687,0,178,26,8,56,,,
86,user86,706,1,128,10,2,16,,,
87,user87,708,0,277,30,11,78,,,
88,user88,712,1,306,10,2,16,,,
89,user89,721,1,292,32,2,40,,,
90,user90,723,1,215,2,8,36,,,
91,user91,743,1,240,20,1,20,,,
92,user92,759,0,208,4,1,4,,,
93,user93,761,1,141,10,1,10,,,
94,user94,764,0,253,2,1,2,,,
95,user95,775,1,258,14,5,36,,,
96,user96,795,1,453,14,12,82,,,
97,user97,800,1,240,12,1,12,,,
98,user98,803,0,187,10,7,30,,,
99,user99,808,0,271,10,2,18,,,
100,user100,844,1,288,22,1,22,,,
101,user101,850,0,194,12,10,62,,,
102,user102,874,1,274,14,11,68,,,
103,user103,876,0,176,6,7,20,,,
104,user104,883,1,182,4,10,34,,,
105,user105,903,0,64,6,2,8,,,
106,user106,910,0,95,2,1,2,,,
107,user107,915,1,308,16,1,16,,,
108,user108,931,1,166,16,1,16,,,
109,user109,940,1,224,28,2,32,,,
110,user110,942,0,123,14,4,32,,,
111,user111,950,1,75,14,1,14,,,
112,user112,954,1,137,16,1,16,,,
113,user113,966,1,266,2,6,30,,,
114,user114,985,1,258,12,1,12,,,
115,user115,999,1,419,14,8,48,,,
116,user116,1002,0,196,2,2,6,,,
117,user117,1010,1,31,6,1,6,,,
118,user118,1011,1,284,10,1,10,,,
119,user119,1012,1,268,14,2,18,,,
120,user120,1048,1,189,12,1,12,,,
121,user121,1054,0,74,32,2,36,,,
122,user122,1075,1,145,16,2,22,,,
123,user123,1076,0,139,30,2,34,,,
124,user124,1082,1,252,10,1,10,,,
125,user125,1087,1,60,34,1,34,,,
126,user126,1088,0,98,12,2,16,,,
127,user127,1093,1,263,12,8,58,,,
128,user128,1095,1,312,10,1,10,,,
129,user129,1101,1,257,2,1,2,,,
130,user130,1103,1,205,4,2,6,,,
131,user131,1119,1,285,22,1,22,,,
132,user132,1121,1,122,4,1,4,,,
133,user133,1123,1,363,2,12,28,,,
134,user134,1131,1,302,10,1,10,,,
135,user135,1138,1,51,4,2,12,,,
136,user136,1141,1,35,18,2,22,,,
137,user137,1142,0,150,2,10,28,,,
138,user138,1149,1,136,6,1,6,,,
139,user139,1151,1,244,32,1,32,,,
140,user140,1160,1,64,32,1,32,,,
141,user141,1161,1,89,4,2,6,,,
142,user142,1169,1,265,16,1,16,,,
143,user143,1170,0,163,14,1,14,,,
144,user144,1172,1,216,14,2,20,,,
145,user145,1185,1,283,14,9,46,,,
146,user146,1195,1,294,14,2,22,,,
147,user147,1222,1,307,36,5,60,,,
148,user148,1227,1,131,16,1,16,,,
149,user149,1230,1,359,18,9,48,,,
150,user150,1238,0,101,14,4,26,,,
151,user151,1248,1,246,18,1,18,,,
152,user152,1253,0,285,12,2,14,,,
153,user153,1261,1,157,26,1,26,,,
154,user154,1263,1,120,8,5,24,,,
155,user155,1283,1,217,14,2,20,,,
156,user156,1300,1,200,4,9,30,,,
157,user157,1313,1,100,12,4,32,,,
158,user158,1319,1,309,4,11,40,,,
159,user159,1323,0,354,6,10,56,,,
160,user160,1329,1,163,2,1,2,,,
161,user161,1333,1,66,12,2,20,,,
162,user162,1352,1,169,16,4,34,,,
163,user163,1353,1,224,4,1,4,,,
164,user164,1357,0,222,16,2,20,,,
165,user165,1364,1,477,20,12,68,,,
166,user166,1366,1,143,10,1,10,,,
167,user167,1371,1,295,32,2,40,,,
168,user168,1392,1,69,2,1,2,,,
169,user169,1394,1,275,8,10,62,,,
170,user170,1406,1,54,12,3,24,,,
171,user171,1411,0,201,34,6,54,,,
172,user172,1442,1,149,8,1,8,,,
173,user173,1455,1,364,14,8,54,,,
174,user174,1474,0,86,14,5,40,,,
175,user175,1484,1,151,12,4,34,,,
176,user176,1486,1,229,8,2,12,,,
177,user177,1494,1,227,2,9,42,,,
178,user178,1496,1,246,6,1,6,,,
179,user179,1505,1,43,10,2,16,,,
180,user180,1515,1,158,12,2,14,,,
181,user181,1518,0,327,16,2,24,,,
182,user182,1521,1,164,2,3,16,,,
183,user183,1526,0,158,6,9,56,,,
184,user184,1529,0,206,10,2,16,,,
185,user185,1530,1,319,4,2,10,,,
186,user186,1531,0,39,10,1,10,,,
187,user187,1543,1,295,6,2,14,,,
188,user188,1552,1,178,14,1,14,,,
189,user189,1554,1,128,32,5,48,,,
190,user190,1577,1,311,2,9,34,,,
191,user191,1610,0,391,8,9,48,,,
192,user192,1641,0,88,18,2,22,,,
193,user193,1652,1,97,2,2,10,,,
194,user194,1671,0,250,12,12,36,,,
195,user195,1672,1,102,2,1,2,,,
196,user196,1685,1,273,14,2,20,,,
197,user197,1690,1,362,14,5,42,,,
198,user198,1705,0,271,12,2,14,,,
199,user199,1740,0,24,8,1,8,,,
200,user200,1741,1,280,14,2,22,,,
201,user201,1748,1,203,18,1,18,,,
202,user202,1749,1,304,16,2,18,,,
203,user203,1766,0,164,12,3,24,,,
204,user204,1784,1,32,12,1,12,,,
205,user205,1785,1,178,30,2,34,,,
206,user206,1788,1,130,12,1,12,,,
207,user207,1796,0,177,30,9,76,,,
208,user208,1799,1,90,10,2,14,,,
209,user209,1805,1,292,14,1,14,,,
210,user210,1813,1,226,2,1,2,,,
211,user211,1815,1,73,12,2,18,,,
212,user212,1817,0,123,4,2,10,,,
213,user213,1825,1,432,12,11,76,,,
214,user214,1837,1,218,22,1,22,,,
215,user215,1838,1,448,12,12,48,,,
216,user216,1844,1,37,16,2,22,,,
217,user217,1845,1,246,6,9,40,,,
218,user218,1846,0,200,8,3,24,,,
219,user219,1858,1,220,16,3,24,,,
220,user220,1878,0,238,24,1,24,,,
221,user221,1886,0,152,16,9,66,,,
222,user222,1889,1,361,6,6,36,,,
223,user223,1923,0,60,14,4,32,,,
224,user224,1941,0,438,12,11,76,,,
225,user225,1960,1,58,2,1,2,,,
226,user226,1962,0,61,10,3,20,,,
227,user227,1977,1,194,14,2,22,,,
228,user228,1984,1,239,8,1,8,,,
229,user229,2020,1,68,16,1,16,,,
230,user230,2046,1,88,16,1,16,,,
231,user231,2052,1,300,14,1,14,,,
232,user232,2062,0,363,14,7,42,,,
233,user233,2065,1,234,10,1,10,,,
234,user234,2068,1,191,6,1,6,,,
235,user235,2073,1,178,26,2,28,,,
236,user236,2074,1,146,10,1,10,,,
237,user237,2079,0,374,36,11,66,,,
238,user238,2081,0,109,14,2,20,,,
239,user239,2096,1,120,14,1,14,,,
240,user240,2099,1,210,16,1,16,,,
241,user241,2108,0,282,14,2,18,,,
242,user242,2119,1,260,32,1,32,,,
243,user243,2121,1,340,12,6,30,,,
244,user244,2124,1,441,10,12,72,,,
245,user245,2171,0,95,8,2,12,,,
246,user246,2172,0,34,10,2,16,,,
247,user247,2183,1,125,32,1,32,,,
248,user248,2184,1,329,14,3,24,,,
249,user249,2185,1,79,16,1,16,,,
250,user250,2198,1,96,26,2,28,,,
251,user251,2203,1,173,20,2,28,,,
252,user252,2204,1,364,16,8,60,,,
253,user253,2213,0,212,16,5,38,,,
254,user254,2226,1,124,16,2,22,,,
255,user255,2227,1,167,18,5,32,,,
256,user256,2238,1,80,12,1,12,,,
257,user257,2245,1,318,8,2,10,,,
258,user258,2253,1,260,12,1,12,,,
259,user259,2262,0,148,6,4,20,,,
260,user260,2263,0,243,4,1,4,,,
261,user261,2268,0,40,22,1,22,,,
262,user262,2294,1,121,12,5,32,,,
263,user263,2296,1,384,10,8,46,,,
264,user264,2299,1,90,10,5,38,,,
265,user265,2304,1,107,14,6,36,,,
266,user266,2313,1,53,12,2,14,,,
267,user267,2324,1,232,10,1,10,,,
268,user268,2339,0,329,16,5,36,,,
269,user269,2341,0,90,12,3,26,,,
270,user270,2342,1,192,34,6,52,,,
271,user271,2376,0,419,14,12,50,,,
272,user272,2377,1,153,10,1,10,,,
273,user273,2382,1,305,16,8,60,,,
274,user274,2383,1,218,14,8,48,,,
275,user275,2385,1,33,2,1,2,,,
276,user276,2392,0,135,16,4,26,,,
277,user277,2394,1,320,6,2,12,,,
278,user278,2431,1,174,16,2,22,,,
279,user279,2435,1,285,6,9,56,,,
280,user280,2471,0,208,4,2,8,,,
281,user281,2473,1,45,26,2,34,,,
282,user282,2475,0,77,8,1,8,,,
283,user283,2503,0,90,10,2,14,,,
284,user284,2505,1,297,8,7,22,,,
285,user285,2506,1,347,10,6,28,,,
286,user286,2508,1,188,36,6,62,,,
287,user287,2523,1,252,2,1,2,,,
288,user288,2527,0,415,16,12,68,,,
289,user289,2532,1,146,14,2,18,,,
290,user290,2536,1,142,4,2,6,,,
291,user291,2541,1,232,26,2,30,,,
292,user292,2591,0,326,22,4,38,,,
293,user293,2594,1,131,8,6,30,,,
294,user294,2603,0,166,16,1,16,,,
295,user295,2604,1,44,16,2,18,,,
296,user296,2624,1,159,34,1,34,,,
297,user297,2641,0,210,34,1,34,,,
298,user298,2649,1,143,10,1,10,,,
299,user299,2660,0,212,10,1,10,,,
300,user300,2668,1,201,32,1,32,,,
301,user301,2673,1,110,10,6,28,,,
302,user302,2676,1,18,16,1,16,,,
303,user303,2684,1,267,16,2,18,,,
304,user304,2687,1,38,4,1,4,,,
305,user305,2699,1,284,10,5,20,,,
306,user306,2707,1,332,12,10,48,,,
307,user307,2726,1,124,4,1,4,,,
308,user308,2727,0,192,12,1,12,,,
309,user309,2731,1,267,12,6,38,,,
310,user310,2739,1,324,10,2,14,,,
311,user311,2761,1,199,4,10,34,,,
312,user312,2771,0,356,4,6,22,,,
313,user313,2773,1,475,4,12,52,,,
314,user314,2798,1,258,14,2,18,,,
315,user315,2812,0,268,12,7,46,,,
316,user316,2819,1,101,10,2,18,,,
317,user317,2828,1,238,8,4,28,,,
318,user318,2829,1,305,14,8,56,,,
319,user319,2830,0,269,12,1,12,,,
320,user320,2846,1,240,12,1,12,,,
321,user321,2847,1,218,24,2,30,,,
322,user322,2851,0,155,30,6,44,,,
323,user323,2859,0,285,10,1,10,,,
324,user324,2873,1,317,14,9,64,,,
325,user325,2875,0,361,16,11,80,,,
326,user326,2889,1,370,10,8,50,,,
327,user327,2891,0,339,8,7,46,,,
328,user328,2901,0,48,10,1,10,,,
329,user329,2904,0,169,14,3,24,,,
330,user330,2907,1,75,4,2,10,,,
331,user331,2924,0,133,16,3,26,,,
332,user332,2927,1,330,14,6,34,,,
333,user333,2934,0,102,8,5,26,,,
334,user334,2959,1,311,10,1,10,,,
335,user335,2974,1,316,16,3,30,,,
336,user336,2981,1,230,2,12,32,,,
337,user337,2990,1,246,34,2,40,,,
338,user338,2993,0,219,10,6,28,,,
339,user339,3008,1,127,4,2,6,,,
340,user340,3012,1,256,16,4,36,,,
341,user341,3014,0,369,16,6,40,,,
342,user342,3016,1,269,32,1,32,,,
343,user343,3024,1,248,16,7,44,,,
344,user344,3030,1,293,18,9,42,,,
345,user345,3043,1,211,28,1,28,,,
346,user346,3047,1,82,16,3,26,,,
347,user347,3048,0,304,20,2,22,,,
348,user348,3054,1,177,8,1,8,,,
349,user349,3055,0,248,16,8,38,,,
350,user350,3057,1,86,6,1,6,,,
351,user351,3058,1,149,16,2,18,,,
352,user352,3067,0,158,32,2,34,,,
353,user353,3069,1,212,32,2,38,,,
354,user354,3072,1,422,18,9,56,,,
355,user355,3073,1,277,14,2,20,,,
356,user356,3078,1,222,10,2,14,,,
357,user357,3093,0,177,10,1,10,,,
358,user358,3094,0,230,2,1,2,,,
359,user359,3099,0,248,34,7,52,,,
360,user360,3102,0,24,8,1,8,,,
361,user361,3105,1,130,2,2,8,,,
362,user362,3107,1,34,2,1,2,,,
363,user363,3138,1,145,4,2,12,,,
364,user364,3153,1,121,26,1,26,,,
365,user365,3155,1,424,10,11,64,,,
366,user366,3159,1,233,10,1,10,,,
367,user367,3196,1,221,10,2,12,,,
368,user368,3231,1,287,6,9,38,,,
369,user369,3233,1,206,16,2,24,,,
370,user370,3241,0,148,6,1,6,,,
371,user371,3244,1,345,6,5,20,,,
372,user372,3251,0,173,14,2,20,,,
373,user373,3256,1,240,16,11,76,,,
374,user374,3270,1,223,10,6,24,,,
375,user375,3293,0,74,4,2,6,,,
376,user376,3308,1,246,10,8,32,,,
377,user377,3309,0,148,16,1,16,,,
378,user378,3329,1,54,8,1,8,,,
379,user379,3338,1,189,14,1,14,,,
380,user380,3340,1,26,16,1,16,,,
381,user381,3367,1,99,4,1,4,,,
382,user382,3369,0,249,14,8,40,,,
383,user383,3375,1,137,16,1,16,,,
384,user384,3377,0,221,2,8,20,,,
385,user385,3407,1,180,4,2,6,,,
386,user386,3412,0,404,28,11,88,,,
387,user387,3471,1,329,12,2,14,,,
388,user388,3493,1,198,26,2,30,,,
389,user389,3504,1,252,14,1,14,,,
390,user390,3517,1,379,24,10,60,,,
391,user391,3526,1,300,16,2,18,,,
392,user392,3531,1,364,14,8,52,,,
393,user393,3533,1,253,6,12,38,,,
394,user394,3554,0,232,8,1,8,,,
395,user395,3566,1,128,16,2,20,,,
396,user396,3569,1,266,10,4,32,,,
397,user397,3590,1,106,16,1,16,,,
398,user398,3606,1,174,14,2,16,,,
399,user399,3609,1,243,4,1,4,,,
400,user400,3621,1,111,8,2,14,,,
401,user401,3625,1,288,16,5,32,,,
402,user402,3628,1,157,2,2,10,,,
403,user403,3640,1,97,16,2,18,,,
404,user404,3656,1,168,16,2,24,,,
405,user405,3662,0,243,10,12,48,,,
406,user406,3665,1,152,4,2,10,,,
407,user407,3669,1,47,2,3,10,,,
408,user408,3670,1,67,12,1,12,,,
409,user409,3672,1,320,6,3,18,,,
410,user410,3673,1,100,14,1,14,,,
411,user411,3681,0,354,26,7,42,,,
412,user412,3684,1,144,6,8,38,,,
413,user413,3689,1,268,10,1,10,,,
414,user414,3693,1,40,10,2,16,,,
415,user415,3695,1,65,16,1,16,,,
416,user416,3701,1,307,16,2,24,,,
417,user417,3706,1,261,22,2,30,,,
418,user418,3708,1,273,16,1,16,,,
419,user419,3710,0,163,6,2,14,,,
420,user420,3716,1,235,12,7,52,,,
421,user421,3736,1,57,18,2,24,,,
422,user422,3739,1,43,2,2,4,,,
423,user423,3742,1,289,4,6,28,,,
424,user424,3746,1,222,6,2,10,,,
425,user425,3747,1,94,8,3,26,,,
426,user426,3759,0,226,14,2,22,,,
427,user427,3771,1,217,6,1,6,,,
428,user428,3779,1,193,12,1,12,,,
429,user429,3817,1,377,6,12,34,,,
430,user430,3819,1,294,16,3,22,,,
431,user431,3825,1,28,12,1,12,,,
432,user432,3866,0,142,10,1,10,,,
433,user433,3871,1,257,16,2,24,,,
434,user434,3873,1,132,28,2,30,,,
435,user435,3882,1,223,4,7,22,,,
436,user436,3887,1,419,10,11,70,,,
437,user437,3913,1,176,20,1,20,,,
438,user438,3915,0,83,18,1,18,,,
439,user439,3927,1,366,10,12,70,,,
440,user440,3943,1,198,8,2,12,,,
441,user441,3945,1,90,16,1,16,,,
442,user442,3966,1,122,4,1,4,,,
443,user443,3984,1,356,12,4,26,,,
444,user444,3989,1,203,16,2,24,,,
445,user445,3998,1,33,12,2,14,,,
446,user446,4003,1,139,8,1,8,,,
447,user447,4004,1,201,14,7,54,,,
448,user448,4014,1,284,10,1,10,,,
449,user449,4027,1,227,12,6,36,,,
450,user450,4048,1,244,30,9,52,,,
451,user451,4049,1,59,8,1,8,,,
452,user452,4050,1,228,24,12,58,,,
453,user453,4061,1,62,10,1,10,,,
454,user454,4073,1,76,22,1,22,,,
455,user455,4083,1,312,12,1,12,,,
456,user456,4105,1,149,2,5,26,,,
457,user457,4114,0,193,16,5,34,,,
458,user458,4117,1,56,16,1,16,,,
459,user459,4131,0,195,16,2,20,,,
460,user460,4133,1,186,24,1,24,,,
461,user461,4137,0,153,36,2,42,,,
462,user462,4153,1,362,18,12,78,,,
463,user463,4160,1,198,6,1,6,,,
464,user464,4173,1,128,18,2,24,,,
465,user465,4182,0,270,4,2,6,,,
466,user466,4188,1,350,14,5,28,,,
467,user467,4194,0,286,36,1,36,,,
468,user468,4209,0,71,20,2,24,,,
469,user469,4231,1,241,6,2,14,,,
470,user470,4248,0,190,10,1,10,,,
471,user471,4253,1,77,10,1,10,,,
472,user472,4260,1,68,16,2,22,,,
473,user473,4288,1,317,12,9,38,,,
474,user474,4294,1,422,14,9,38,,,
475,user475,4321,1,96,22,5,44,,,
476,user476,4338,0,170,24,2,30,,,
477,user477,4345,1,263,14,7,42,,,
478,user478,4360,0,254,26,1,26,,,
479,user479,4367,0,262,6,5,24,,,
480,user480,4378,1,168,20,7,36,,,
481,user481,4380,0,37,16,2,20,,,
482,user482,4381,0,184,20,6,44,,,
483,user483,4382,1,228,10,2,16,,,
484,user484,4386,1,47,10,2,14,,,
485,user485,4387,1,195,12,2,16,,,
486,user486,4398,1,294,12,12,70,,,
487,user487,4409,1,135,14,1,14,,,
488,user488,4421,0,248,6,2,10,,,
489,user489,4436,1,109,10,2,16,,,
490,user490,4443,1,274,22,1,22,,,
491,user491,4454,1,234,2,5,16,,,
492,user492,4469,1,105,12,7,26,,,
493,user493,4490,1,372,20,8,66,,,
494,user494,4504,1,49,16,2,20,,,
495,user495,4506,1,139,20,7,44,,,
496,user496,4508,1,55,12,1,12,,,
497,user497,4511,1,117,2,1,2,,,
498,user498,4547,1,140,14,2,20,,,
499,user499,4549,0,68,12,4,26,,,
500,user500,4553,1,102,4,2,12,,,
501,user501,4558,1,55,14,2,18,,,
502,user502,4564,1,281,14,8,58,,,
503,user503,4567,1,293,2,9,26,,,
504,user504,4574,1,330,16,5,42,,,
505,user505,4580,1,179,4,3,22,,,
506,user506,4584,1,357,8,5,36,,,
507,user507,4590,1,239,2,1,2,,,
508,user508,4596,1,231,26,1,26,,,
509,user509,4613,1,75,12,2,16,,,
510,user510,4629,1,290,34,1,34,,,
511,user511,4653,0,258,28,7,60,,,
512,user512,4659,0,224,28,12,74,,,
513,user513,4680,1,187,14,8,38,,,
514,user514,4683,1,199,14,2,16,,,
515,user515,4699,1,131,18,7,46,,,
516,user516,4722,1,175,30,2,32,,,
517,user517,4725,0,189,16,2,24,,,
518,user518,4728,1,267,2,4,20,,,
519,user519,4740,0,307,12,1,12,,,
520,user520,4748,1,187,2,8,44,,,
521,user521,4752,1,80,6,1,6,,,
522,user522,4755,0,78,32,2,34,,,
523,user523,4756,1,291,32,1,32,,,
524,user524,4762,1,300,20,7,40,,,
525,user525,4767,1,320,16,2,20,,,
526,user526,4773,1,157,8,2,14,,,
527,user527,4777,0,305,14,5,28,,,
528,user528,4780,1,421,6,11,68,,,
529,user529,4796,1,372,30,11,60,,,
530,user530,4801,1,17,14,1,14,,,
531,user531,4808,1,109,10,6,30,,,
532,user532,4818,1,221,22,2,24,,,
533,user533,4820,0,444,16,10,38,,,
534,user534,4821,1,423,4,9,56,,,
535,user535,4829,1,228,8,10,46,,,
536,user536,4840,1,285,14,2,16,,,
537,user537,4859,1,244,8,2,10,,,
538,user538,4866,1,216,22,1,22,,,
539,user539,4873,1,202,4,9,48,,,
540,user540,4907,1,56,6,2,12,,,
541,user541,4910,1,291,10,2,18,,,
542,user542,4919,1,262,12,11,78,,,
543,user543,4939,1,228,8,1,8,,,
544,user544,4940,1,200,10,1,10,,,
545,user545,4983,1,263,20,12,80,,,
546,user546,4986,1,222,14,3,24,,,
547,user547,5010,1,157,8,1,8,,,
548,user548,5015,1,362,14,11,62,,,
549,user549,5020,1,186,4,1,4,,,
550,user550,5025,1,357,18,10,56,,,
551,user551,5030,1,211,4,6,18,,,
552,user552,5035,1,150,6,5,28,,,
553,user553,5037,1,281,12,2,18,,,
554,user554,5041,0,218,6,1,6,,,
555,user555,5047,1,106,14,1,14,,,
556,user556,5049,1,217,12,1,12,,,
557,user557,5050,0,262,28,2,30,,,
558,user558,5070,1,332,2,9,26,,,
559,user559,5076,1,281,36,11,92,,,
560,user560,5077,1,239,12,1,12,,,
561,user561,5083,1,224,32,1,32,,,
562,user562,5090,1,392,8,12,60,,,
563,user563,5100,1,188,22,5,48,,,
564,user564,5112,1,338,26,5,40,,,
565,user565,5115,1,394,14,8,48,,,
566,user566,5119,1,47,10,2,12,,,
567,user567,5147,1,276,20,3,26,,,
568,user568,5148,1,199,16,4,30,,,
569,user569,5167,1,37,14,2,20,,,
570,user570,5170,1,384,6,8,26,,,
571,user571,5174,0,172,4,2,8,,,
572,user572,5193,0,181,10,2,16,,,
573,user573,5197,1,211,20,1,20,,,
574,user574,5202,1,299,20,1,20,,,
575,user575,5203,0,108,26,2,28,,,
576,user576,5224,1,419,14,11,62,,,
577,user577,5228,1,406,14,10,72,,,
578,user578,5233,1,351,36,4,50,,,
579,user579,5235,0,400,6,11,52,,,
580,user580,5243,1,287,12,2,18,,,
581,user581,5246,1,423,12,10,34,,,
582,user582,5250,1,131,14,4,28,,,
583,user583,5257,1,305,6,9,24,,,
584,user584,5268,0,400,4,8,44,,,
585,user585,5297,1,124,14,4,32,,,
586,user586,5300,0,354,6,9,30,,,
587,user587,5333,1,165,14,1,14,,,
588,user588,5338,1,282,12,8,60,,,
589,user589,5345,1,240,12,2,16,,,
590,user590,5349,0,181,4,2,10,,,
591,user591,5350,1,245,18,4,34,,,
592,user592,5355,1,108,8,1,8,,,
593,user593,5366,1,300,12,5,24,,,
594,user594,5376,0,190,8,1,8,,,
595,user595,5383,0,175,16,2,20,,,
596,user596,5385,1,227,10,1,10,,,
597,user597,5394,1,121,16,2,20,,,
598,user598,5417,0,288,6,11,70,,,
599,user599,5424,1,278,26,1,26,,,
600,user600,5431,1,151,16,2,24,,,
601,user601,5442,1,228,14,9,36,,,
602,user602,5445,0,133,2,4,24,,,
603,user603,5448,0,398,10,11,50,,,
604,user604,5451,1,233,16,4,36,,,
605,user605,5452,1,203,18,1,18,,,
606,user606,5453,1,410,4,8,20,,,
607,user607,5454,1,128,20,2,24,,,
608,user608,5485,0,66,10,2,16,,,
609,user609,5504,1,104,28,1,28,,,
610,user610,5536,0,178,18,2,26,,,
611,user611,5543,1,164,4,7,38,,,
612,user612,5549,1,273,8,2,16,,,
613,user613,5557,0,170,16,1,16,,,
614,user614,5560,1,236,8,12,44,,,
615,user615,5570,1,93,14,3,28,,,
616,user616,5575,0,84,6,1,6,,,
617,user617,5582,0,29,10,1,10,,,
618,user618,5605,0,76,20,1,20,,,
619,user619,5610,1,297,34,12,94,,,
620,user620,5614,0,145,12,1,12,,,
621,user621,5628,0,136,12,2,16,,,
622,user622,5632,1,75,16,1,16,,,
623,user623,5648,1,159,10,3,22,,,
624,user624,5654,1,276,24,2,32,,,
625,user625,5657,0,53,14,1,14,,,
626,user626,5669,1,175,36,1,36,,,
627,user627,5670,0,173,16,8,44,,,
628,user628,5672,1,67,14,1,14,,,
629,user629,5676,1,277,8,1,8,,,
630,user630,5708,1,242,10,1,10,,,
631,user631,5711,1,73,6,1,6,,,
632,user632,5713,1,19,16,1,16,,,
633,user633,5715,1,341,2,3,12,,,
634,user634,5722,1,354,4,12,48,,,
635,user635,5724,1,225,26,11,58,,,
636,user636,5729,1,285,4,9,40,,,
637,user637,5747,1,259,14,2,18,,,
638,user638,5749,1,310,16,8,54,,,
639,user639,5755,0,130,22,2,24,,,
640,user640,5760,1,166,12,1,12,,,
641,user641,5765,1,148,4,5,22,,,
642,user642,5766,1,156,6,5,16,,,
643,user643,5772,1,200,26,1,26,,,
644,user644,5777,1,137,18,2,20,,,
645,user645,5778,1,117,34,1,34,,,
646,user646,5783,1,218,10,2,18,,,
647,user647,5795,0,54,20,1,20,,,
648,user648,5800,1,185,6,2,12,,,
649,user649,5806,1,336,12,7,36,,,
650,user650,5811,1,284,14,10,70,,,
651,user651,5824,0,310,12,2,18,,,
652,user652,5828,1,203,14,1,14,,,
653,user653,5838,1,74,10,1,10,,,
654,user654,5845,1,238,24,3,36,,,
655,user655,5850,1,262,16,1,16,,,
656,user656,5855,1,49,24,1,24,,,
657,user657,5856,0,295,30,2,34,,,
658,user658,5870,0,81,16,1,16,,,
659,user659,5880,1,305,10,2,12,,,
660,user660,5885,1,254,32,1,32,,,
661,user661,5893,0,159,20,2,24,,,
